
"KS206EW - Household language"
"ONS Crown Copyright Reserved [from Nomis on 8 June 2020]"
"Population :","All households"
"Units      :","Households"
"Date       :","2011"
"Rural Urban:","Total"

"2011 output area","mnemonic","All people aged 16 and over in household have English as a main language (English or Welsh in Wales)","At least one but not all people aged 16 and over in household have English as a main language (English or Welsh in Wales)","No people aged 16 and over in household but at least one person aged 3 to 15 has English as a main language (English or Welsh in Wales)","No people in household have English as a main language (English or Welsh in Wales)"
"E00014577","E00014577",52.6,13.7,1.1,32.6
"E00014550","E00014550",62.0,14.0,3.9,20.2
"E00014553","E00014553",60.4,15.8,3.0,20.8
"E00014575","E00014575",63.6,10.4,1.9,24.0
"E00014576","E00014576",56.0,8.0,2.4,33.6
"E00014579","E00014579",53.3,20.5,3.3,23.0
"E00014580","E00014580",51.9,16.7,3.7,27.8
"E00014581","E00014581",76.4,6.3,0.8,16.5
"E00014595","E00014595",65.5,12.1,0.0,22.4
"E00014597","E00014597",69.6,5.4,1.8,23.2
"E00014600","E00014600",76.5,9.4,1.2,12.9
"E00014602","E00014602",79.3,11.5,1.1,8.0
"E00014604","E00014604",79.6,4.4,4.4,11.5
"E00014605","E00014605",82.0,5.5,0.0,12.5
"E00014603","E00014603",88.5,8.7,0.0,2.9
"E00014607","E00014607",72.6,9.7,1.8,15.9
"E00014609","E00014609",71.3,10.9,2.0,15.8
"E00014611","E00014611",71.8,13.7,1.7,12.8
"E00014612","E00014612",73.8,13.1,0.0,13.1
"E00014613","E00014613",79.3,6.4,0.0,14.3
"E00014594","E00014594",71.2,10.2,0.8,17.8
"E00014596","E00014596",82.6,7.0,0.0,10.5
"E00014601","E00014601",79.4,8.8,1.0,10.8
"E00014606","E00014606",74.2,7.9,0.0,18.0
"E00175091","E00175091",77.0,3.0,0.0,20.0
"E00014582","E00014582",56.9,10.9,1.5,30.7
"E00014583","E00014583",72.3,6.7,0.0,21.0
"E00014584","E00014584",67.5,6.4,3.2,22.9
"E00014585","E00014585",60.3,8.0,1.7,29.9
"E00014586","E00014586",63.6,10.2,1.1,25.0
"E00014587","E00014587",74.0,5.8,3.8,16.3
"E00014588","E00014588",69.2,2.9,1.0,26.9
"E00014589","E00014589",76.2,7.9,1.6,14.3
"E00014590","E00014590",72.9,13.2,1.6,12.4
"E00014591","E00014591",73.0,9.5,1.6,15.9
"E00014592","E00014592",82.4,5.9,3.9,7.8
"E00014593","E00014593",78.9,11.0,2.8,7.3
"E00014598","E00014598",80.2,5.0,1.7,13.2
"E00014599","E00014599",69.2,15.4,0.0,15.4
"E00014223","E00014223",68.0,8.2,0.8,23.0
"E00014224","E00014224",75.7,13.0,0.0,11.3
"E00014225","E00014225",74.2,10.5,0.8,14.5
"E00014226","E00014226",87.5,6.2,2.1,4.2
"E00014228","E00014228",76.1,8.0,0.0,15.9
"E00014229","E00014229",56.0,8.0,4.0,32.0
"E00014232","E00014232",73.0,16.0,0.0,11.0
"E00014227","E00014227",66.1,15.0,1.6,17.3
"E00014230","E00014230",54.7,14.1,0.0,31.2
"E00014231","E00014231",80.4,14.1,1.1,4.3
"E00014233","E00014233",69.4,3.3,0.8,26.4
"E00014234","E00014234",71.3,13.2,1.6,14.0
"E00014236","E00014236",66.0,7.8,1.4,24.8
"E00014651","E00014651",73.9,5.2,1.7,19.1
"E00014652","E00014652",65.2,17.0,0.9,17.0
"E00014654","E00014654",79.7,6.2,0.8,13.3
"E00014655","E00014655",67.4,9.1,0.8,22.7
"E00014656","E00014656",65.4,10.0,0.8,23.8
"E00014658","E00014658",67.6,12.2,0.0,20.1
"E00014657","E00014657",63.9,9.8,0.8,25.4
"E00014659","E00014659",72.1,8.2,0.7,19.0
"E00014660","E00014660",59.0,19.9,0.0,21.2
"E00014662","E00014662",62.2,19.7,1.6,16.5
"E00014668","E00014668",70.7,18.5,1.1,9.8
"E00014669","E00014669",68.3,17.1,0.8,13.8
"E00014646","E00014646",67.3,11.1,2.0,19.6
"E00014647","E00014647",74.6,6.1,0.9,18.4
"E00014648","E00014648",75.0,8.3,3.8,12.9
"E00014649","E00014649",73.3,12.4,3.8,10.5
"E00014650","E00014650",66.1,4.8,3.2,25.8
"E00014653","E00014653",61.9,8.8,0.0,29.2
"E00014182","E00014182",62.6,7.8,2.6,27.0
"E00014211","E00014211",74.6,10.0,0.0,15.4
"E00014212","E00014212",61.6,10.1,0.0,28.3
"E00014215","E00014215",62.1,12.1,0.9,25.0
"E00175097","E00175097",64.3,10.0,2.9,22.9
"E00175098","E00175098",75.5,8.2,0.0,16.3
"E00014546","E00014546",72.1,11.5,2.5,13.9
"E00014558","E00014558",59.1,16.4,1.8,22.7
"E00014560","E00014560",69.5,13.3,0.8,16.4
"E00014562","E00014562",68.6,9.5,1.0,21.0
"E00014578","E00014578",64.1,13.8,4.8,17.2
"E00014547","E00014547",58.6,17.7,1.6,22.0
"E00014548","E00014548",65.4,12.8,3.8,18.0
"E00014552","E00014552",57.4,24.0,3.1,15.5
"E00014559","E00014559",71.4,8.7,0.0,19.9
"E00014565","E00014565",63.4,13.4,1.8,21.4
"E00014566","E00014566",64.3,11.7,1.9,22.1
"E00014549","E00014549",68.8,9.6,2.4,19.2
"E00014570","E00014570",66.7,12.8,0.7,19.9
"E00014571","E00014571",65.3,9.7,4.8,20.2
"E00014572","E00014572",79.6,3.7,0.9,15.7
"E00014573","E00014573",63.6,11.4,0.0,25.0
"E00014574","E00014574",73.4,11.7,2.1,12.8
"E00014661","E00014661",60.1,10.1,2.0,27.7
"E00014663","E00014663",75.2,7.1,0.9,16.8
"E00014664","E00014664",71.8,13.5,1.8,12.9
"E00014665","E00014665",74.8,9.9,0.9,14.4
"E00014666","E00014666",72.6,8.2,1.4,17.8
"E00014667","E00014667",76.6,5.5,2.3,15.6
"E00014235","E00014235",77.7,6.8,0.0,15.5
"E00014237","E00014237",75.0,15.0,1.7,8.3
"E00014238","E00014238",72.0,5.0,3.0,20.0
"E00014239","E00014239",65.6,18.8,4.2,11.5
"E00014241","E00014241",67.3,9.7,6.2,16.8
"E00014244","E00014244",67.0,11.7,1.9,19.4
"E00014250","E00014250",66.4,16.4,6.0,11.2
"E00014221","E00014221",74.5,6.2,2.1,17.2
"E00014251","E00014251",68.8,8.8,3.8,18.8
"E00014252","E00014252",79.0,9.5,1.0,10.5
"E00014254","E00014254",83.7,3.3,1.1,12.0
"E00014255","E00014255",82.4,8.1,1.4,8.1
"E00014256","E00014256",74.1,10.3,0.0,15.5
"E00014257","E00014257",73.0,9.0,1.0,17.0
"E00014243","E00014243",46.8,20.3,1.9,31.0
"E00014246","E00014246",56.9,19.6,5.9,17.6
"E00014247","E00014247",54.8,18.3,7.1,19.8
"E00014249","E00014249",53.7,13.0,9.3,24.1
"E00014222","E00014222",71.0,9.7,6.5,12.9
"E00014240","E00014240",50.4,18.8,12.8,18.0
"E00014242","E00014242",69.9,12.2,4.1,13.8
"E00014248","E00014248",80.0,6.3,0.0,13.7
"E00175101","E00175101",78.9,6.0,0.6,14.5
"E00014645","E00014645",59.6,16.7,1.8,21.9
"E00014670","E00014670",68.5,6.3,1.6,23.6
"E00014671","E00014671",73.0,9.6,1.7,15.7
"E00014672","E00014672",67.5,10.8,2.5,19.2
"E00014673","E00014673",70.4,9.3,6.5,13.9
"E00175088","E00175088",55.9,11.9,1.7,30.5
"E00175089","E00175089",59.1,11.0,2.4,27.6
"E00175092","E00175092",67.0,8.7,6.8,17.5



"","In order to protect against disclosure of personal information, records"
"","have been swapped between different geographic areas. Some counts will"
"","be affected, particularly small counts at the lowest geographies"
"",""

