
"KS402EW - Tenure"
"ONS Crown Copyright Reserved [from Nomis on 8 June 2020]"
"Population :","All households"
"Units      :","Households"
"Date       :","2011"
"Rural Urban:","Total"

"2011 output area","mnemonic","Owned","Shared ownership (part owned and part rented)","Social rented","Private rented","Living rent free"
"E00014291","E00014291",10.5,0.0,52.6,30.5,6.3
"E00014294","E00014294",2.2,1.5,77.0,19.3,0.0
"E00014295","E00014295",19.4,2.0,26.5,52.0,0.0
"E00014101","E00014101",31.3,1.5,0.0,63.4,3.7
"E00014104","E00014104",19.4,0.0,6.1,72.4,2.0
"E00014105","E00014105",34.2,0.7,2.0,59.2,3.9
"E00014116","E00014116",48.3,0.7,7.0,40.6,3.5
"E00175090","E00175090",30.2,0.0,5.0,64.0,0.7
"E00014080","E00014080",43.2,1.1,6.8,39.8,9.1
"E00014081","E00014081",36.6,0.0,5.7,53.7,4.1
"E00014082","E00014082",63.8,0.0,4.3,25.5,6.4
"E00014103","E00014103",34.3,0.0,8.6,57.1,0.0
"E00014107","E00014107",54.3,1.0,6.7,28.6,9.5
"E00014111","E00014111",53.8,0.9,7.5,33.0,4.7
"E00014190","E00014190",35.4,0.0,1.3,58.9,4.4
"E00014191","E00014191",56.9,0.0,1.6,34.1,7.3
"E00014192","E00014192",48.4,0.0,3.2,47.3,1.1
"E00014193","E00014193",41.9,0.0,2.0,45.9,10.1
"E00014217","E00014217",46.5,0.0,1.8,48.2,3.5
"E00014218","E00014218",48.6,0.0,0.0,43.2,8.1
"E00014194","E00014194",50.8,0.0,1.5,46.2,1.5
"E00014197","E00014197",37.5,0.0,5.9,55.9,0.7
"E00014198","E00014198",32.5,0.0,6.8,55.6,5.1
"E00014201","E00014201",27.9,1.0,1.9,68.3,1.0
"E00014203","E00014203",44.0,0.0,22.4,32.8,0.9
"E00014204","E00014204",54.8,0.0,0.0,44.4,0.8
"E00014210","E00014210",35.3,0.8,11.3,49.6,3.0
"E00014196","E00014196",34.1,1.1,8.8,53.8,2.2
"E00014205","E00014205",50.8,0.0,0.8,44.1,4.2
"E00014208","E00014208",34.4,0.0,9.4,54.2,2.1
"E00014209","E00014209",25.1,0.6,8.6,64.6,1.1
"E00014213","E00014213",41.0,0.0,6.8,51.3,0.9
"E00014214","E00014214",71.7,0.0,0.8,22.5,5.0
"E00014270","E00014270",9.9,1.1,46.2,41.8,1.1
"E00014271","E00014271",32.4,4.5,10.8,51.4,0.9
"E00014274","E00014274",18.3,0.8,18.3,61.8,0.8
"E00014276","E00014276",30.9,0.7,23.7,41.7,2.9
"E00014277","E00014277",27.1,0.8,15.5,54.3,2.3
"E00014279","E00014279",17.9,4.7,36.8,38.7,1.9
"E00014280","E00014280",32.4,0.0,6.8,58.1,2.7
"E00014258","E00014258",38.9,0.0,23.6,34.4,3.2
"E00014269","E00014269",30.5,0.8,35.6,32.2,0.8
"E00014272","E00014272",46.7,3.3,3.3,46.7,0.0
"E00014273","E00014273",47.4,1.1,2.1,48.4,1.1
"E00014275","E00014275",51.4,0.0,0.7,45.7,2.2
"E00014278","E00014278",47.3,0.0,12.1,40.7,0.0
"E00014285","E00014285",41.8,0.0,6.1,50.0,2.0
"E00014545","E00014545",38.8,1.2,7.5,48.8,3.8
"E00014561","E00014561",16.3,0.0,59.6,18.4,5.7
"E00014563","E00014563",39.5,0.8,10.9,45.4,3.4
"E00014564","E00014564",41.5,0.0,11.6,45.6,1.4
"E00014567","E00014567",44.5,0.6,5.5,45.7,3.7
"E00014568","E00014568",48.8,0.8,3.9,45.7,0.8
"E00014569","E00014569",28.3,0.8,47.2,22.0,1.6
"E00014551","E00014551",41.5,0.0,2.7,55.8,0.0
"E00014554","E00014554",54.8,0.0,0.0,44.3,0.9
"E00014555","E00014555",41.7,0.8,15.7,41.7,0.0
"E00014556","E00014556",38.7,1.4,5.6,51.4,2.8
"E00014557","E00014557",36.7,0.7,21.1,38.1,3.4
"E00014577","E00014577",36.8,5.3,0.0,55.8,2.1
"E00014550","E00014550",58.1,0.8,0.0,35.7,5.4
"E00014553","E00014553",52.5,0.0,5.9,40.6,1.0
"E00014575","E00014575",54.5,0.6,7.8,35.7,1.3
"E00014576","E00014576",26.4,0.8,51.2,16.8,4.8
"E00014579","E00014579",64.8,0.0,0.8,27.9,6.6
"E00014580","E00014580",57.4,0.0,0.9,39.8,1.9
"E00014581","E00014581",37.0,0.0,19.7,40.9,2.4
"E00014595","E00014595",42.2,0.9,3.4,44.0,9.5
"E00014597","E00014597",48.2,0.0,2.7,41.1,8.0
"E00014600","E00014600",28.2,0.0,42.4,27.1,2.4
"E00014602","E00014602",10.3,0.0,81.6,8.0,0.0
"E00014604","E00014604",10.6,0.9,79.6,7.1,1.8
"E00014605","E00014605",43.0,2.3,4.7,45.3,4.7
"E00014603","E00014603",77.9,1.0,1.0,19.2,1.0
"E00014607","E00014607",59.3,0.0,1.8,35.4,3.5
"E00014609","E00014609",46.5,0.0,0.0,48.5,5.0
"E00014611","E00014611",53.0,0.0,3.4,37.6,6.0
"E00014612","E00014612",71.0,0.0,1.9,23.4,3.7
"E00014613","E00014613",57.1,0.7,0.0,32.9,9.3
"E00014594","E00014594",51.7,0.0,0.8,41.5,5.9
"E00014596","E00014596",48.8,0.0,4.7,39.5,7.0
"E00014601","E00014601",62.7,1.0,0.0,32.4,3.9
"E00014606","E00014606",25.8,0.0,43.8,25.8,4.5
"E00175091","E00175091",34.5,0.6,45.5,17.0,2.4
"E00014582","E00014582",37.2,1.5,0.7,51.1,9.5
"E00014583","E00014583",28.6,0.0,13.4,45.4,12.6
"E00014584","E00014584",28.7,0.6,7.6,56.1,7.0
"E00014585","E00014585",33.3,0.0,2.3,60.3,4.0
"E00014586","E00014586",61.4,0.0,1.1,33.0,4.5
"E00014587","E00014587",8.7,1.0,77.9,6.7,5.8
"E00014588","E00014588",47.1,0.0,7.7,41.3,3.8
"E00014589","E00014589",45.2,0.0,11.1,34.1,9.5
"E00014590","E00014590",54.3,0.8,0.0,43.4,1.6
"E00014591","E00014591",61.9,0.8,0.0,34.1,3.2
"E00014592","E00014592",69.6,0.0,1.0,25.5,3.9
"E00014593","E00014593",61.5,0.0,1.8,34.9,1.8
"E00014598","E00014598",52.9,0.8,0.0,45.5,0.8
"E00014599","E00014599",61.5,1.0,1.9,34.6,1.0
"E00014223","E00014223",50.8,0.0,2.5,41.8,4.9
"E00014224","E00014224",43.5,0.0,3.5,51.3,1.7
"E00014225","E00014225",52.4,0.0,7.3,36.3,4.0
"E00014226","E00014226",34.4,0.0,33.3,30.2,2.1
"E00014228","E00014228",36.4,0.0,43.2,13.6,6.8
"E00014229","E00014229",55.0,0.0,1.0,42.0,2.0
"E00014232","E00014232",64.0,1.0,2.0,27.0,6.0
"E00014227","E00014227",56.7,0.8,17.3,23.6,1.6
"E00014230","E00014230",46.1,1.6,0.8,46.1,5.5
"E00014231","E00014231",70.7,0.0,2.2,21.7,5.4
"E00014233","E00014233",14.0,0.0,66.9,14.9,4.1
"E00014234","E00014234",46.5,1.6,27.1,22.5,2.3
"E00014236","E00014236",14.2,0.0,68.8,15.6,1.4
"E00014651","E00014651",27.0,0.0,63.5,7.8,1.7
"E00014652","E00014652",55.4,0.0,8.0,33.0,3.6
"E00014654","E00014654",49.2,0.8,25.0,25.0,0.0
"E00014655","E00014655",47.7,0.0,15.9,32.6,3.8
"E00014656","E00014656",34.6,0.8,29.2,31.5,3.8
"E00014658","E00014658",56.1,0.0,0.7,38.8,4.3
"E00014657","E00014657",50.8,0.8,0.8,44.3,3.3
"E00014659","E00014659",29.9,0.0,11.6,54.4,4.1
"E00014660","E00014660",50.0,0.6,3.8,40.4,5.1
"E00014662","E00014662",67.7,0.8,0.0,29.1,2.4
"E00014668","E00014668",76.1,0.0,1.1,18.5,4.3
"E00014669","E00014669",48.8,0.0,3.3,46.3,1.6
"E00014646","E00014646",45.1,0.0,2.6,51.6,0.7
"E00014647","E00014647",51.8,0.0,1.8,44.7,1.8
"E00014648","E00014648",68.2,0.0,1.5,26.5,3.8
"E00014649","E00014649",63.8,0.0,1.9,29.5,4.8
"E00014650","E00014650",35.5,0.8,3.2,54.0,6.5
"E00014653","E00014653",33.6,0.9,0.9,59.3,5.3
"E00014182","E00014182",47.8,0.0,1.7,45.2,5.2
"E00014211","E00014211",55.4,0.0,2.3,34.6,7.7
"E00014212","E00014212",26.3,0.0,17.2,53.5,3.0
"E00014215","E00014215",45.7,0.9,0.9,44.8,7.8
"E00175097","E00175097",34.3,0.0,8.6,51.4,5.7
"E00175098","E00175098",40.8,0.0,4.1,55.1,0.0
"E00014546","E00014546",61.5,0.8,8.2,24.6,4.9
"E00014558","E00014558",56.4,0.9,3.6,33.6,5.5
"E00014560","E00014560",57.0,1.6,0.0,37.5,3.9
"E00014562","E00014562",60.0,0.0,2.9,32.4,4.8
"E00014578","E00014578",53.1,0.0,1.4,42.1,3.4
"E00014547","E00014547",46.8,0.0,10.2,40.9,2.2
"E00014548","E00014548",48.1,0.8,2.3,45.9,3.0
"E00014552","E00014552",58.9,1.6,1.6,32.6,5.4
"E00014559","E00014559",46.0,0.0,0.6,52.8,0.6
"E00014565","E00014565",63.4,1.8,2.7,32.1,0.0
"E00014566","E00014566",53.9,0.0,8.4,37.0,0.6
"E00014549","E00014549",42.4,0.0,6.4,48.8,2.4
"E00014570","E00014570",47.5,0.7,0.7,49.6,1.4
"E00014571","E00014571",37.1,0.0,20.2,41.9,0.8
"E00014572","E00014572",42.6,0.0,29.6,25.9,1.9
"E00014573","E00014573",33.6,0.7,2.1,63.6,0.0
"E00014574","E00014574",46.8,0.0,13.8,37.2,2.1
"E00014661","E00014661",39.2,0.0,11.5,49.3,0.0
"E00014663","E00014663",46.9,0.0,0.9,50.4,1.8
"E00014664","E00014664",36.8,0.0,33.7,27.0,2.5
"E00014665","E00014665",50.5,0.0,16.2,30.6,2.7
"E00014666","E00014666",47.3,0.0,11.0,39.0,2.7
"E00014667","E00014667",25.0,0.8,43.8,28.1,2.3
"E00014235","E00014235",75.7,1.9,2.9,18.4,1.0
"E00014237","E00014237",30.0,1.7,61.7,5.0,1.7
"E00014238","E00014238",22.0,0.0,55.0,17.0,6.0
"E00014239","E00014239",10.4,0.0,84.4,4.2,1.0
"E00014241","E00014241",16.8,0.0,63.7,15.0,4.4
"E00014244","E00014244",24.3,0.0,58.3,15.5,1.9
"E00014250","E00014250",39.7,0.9,41.4,16.4,1.7
"E00014221","E00014221",39.3,2.8,30.3,26.9,0.7
"E00014251","E00014251",40.0,2.5,15.0,42.5,0.0
"E00014252","E00014252",47.6,1.0,24.8,26.7,0.0
"E00014254","E00014254",27.2,1.1,52.2,19.6,0.0
"E00014255","E00014255",55.4,0.0,4.1,36.5,4.1
"E00014256","E00014256",34.5,3.4,33.6,26.7,1.7
"E00014257","E00014257",33.0,3.0,38.0,25.0,1.0
"E00014243","E00014243",10.1,0.0,81.0,7.6,1.3
"E00014246","E00014246",29.4,0.0,54.9,15.7,0.0
"E00014247","E00014247",8.6,0.0,86.8,3.6,1.0
"E00014249","E00014249",15.7,0.0,77.8,6.5,0.0
"E00014222","E00014222",9.7,0.0,79.6,4.3,6.5
"E00014240","E00014240",12.0,0.0,77.4,9.0,1.5
"E00014242","E00014242",2.4,0.8,93.5,2.4,0.8
"E00014248","E00014248",46.3,0.0,26.3,26.3,1.1
"E00175101","E00175101",12.7,0.6,72.9,12.0,1.8
"E00014645","E00014645",34.2,0.0,21.1,42.1,2.6
"E00014670","E00014670",44.9,0.0,17.3,36.2,1.6
"E00014671","E00014671",30.4,0.0,14.8,53.0,1.7
"E00014672","E00014672",41.7,0.0,10.0,45.0,3.3
"E00014673","E00014673",50.9,0.0,13.9,34.3,0.9
"E00175088","E00175088",48.3,0.0,2.5,43.2,5.9
"E00175089","E00175089",41.7,0.8,4.7,51.2,1.6
"E00175092","E00175092",35.9,1.0,43.7,17.5,1.9



"","In order to protect against disclosure of personal information, records"
"","have been swapped between different geographic areas. Some counts will"
"","be affected, particularly small counts at the lowest geographies"
"",""

